deal_id,asking_price,arv,sqft,year_built,bedrooms,bathrooms,photo_count,repair_estimate,monthly_rent,street,city,state,zip,property_type,occupancy_status,days_on_market,condition,fund_name,buy_box_id,submission_score,response_type,offer_amount,loss_category,win_factors,lessons_learned,image_quality_score,image_condition,has_updated_kitchen,has_hardwood,has_natural_light,has_damage,needs_repair,is_dated
deal-001,185000,265000,1850,1998,3,2,12,35000,1800,123 Oak Lane,Orlando,FL,32801,single_family,vacant,14,good,Tricon Residential,bb-tricon-001,87.5,offer_accepted,178000,,,Great location near schools,75,good,1,1,1,0,0,0
deal-002,145000,195000,1200,1985,2,1,8,25000,1200,456 Pine St,Jacksonville,FL,32204,single_family,occupied,21,fair,FirstKey Homes,bb-firstkey-001,72.3,passed,,price,,"Price too high for condition",55,fair,0,0,1,0,1,1
deal-003,225000,310000,2200,2005,4,2.5,15,28000,2100,789 Maple Dr,Tampa,FL,33602,single_family,vacant,7,good,Amherst Holdings,bb-amherst-001,91.2,closed,220000,,quick_close;good_comps,Fast due diligence helped,82,good,1,1,1,0,0,0
deal-004,165000,220000,1400,1992,3,2,10,40000,1450,321 Elm Ave,Atlanta,GA,30301,single_family,vacant,28,fair,Invitation Homes,bb-invite-001,68.5,passed,,condition,,"Repair estimate was too low - actual $55k",48,fair,0,0,0,1,1,1
deal-005,198000,275000,1750,2001,3,2,14,22000,1650,654 Cedar Blvd,Charlotte,NC,28202,single_family,occupied,10,good,Progress Residential,bb-progress-001,84.7,offer_made,192000,,,Tenant in place was a plus,70,good,1,0,1,0,0,0
deal-006,275000,340000,2400,2010,4,3,18,15000,2400,987 Birch Way,Dallas,TX,75201,single_family,vacant,5,excellent,American Homes 4 Rent,bb-ah4r-001,93.8,closed,270000,,newer_build;low_rehab;good_schools,Premium locations close faster,90,excellent,1,1,1,0,0,0
deal-007,132000,175000,1100,1978,2,1,6,38000,1050,147 Walnut St,Memphis,TN,38103,single_family,vacant,35,poor,Pretium Partners,bb-pretium-001,58.2,passed,,location,,"Area had crime concerns we missed",35,poor,0,0,0,1,1,1
deal-008,189000,250000,1650,1999,3,2,11,30000,1550,258 Spruce Ln,Phoenix,AZ,85001,single_family,occupied,12,good,Cerberus Capital,bb-cerberus-001,79.4,offer_accepted,183000,,,Below market rent was upside,68,good,0,1,1,0,0,0
deal-009,155000,210000,1350,1988,3,1.5,9,32000,1300,369 Ash Dr,San Antonio,TX,78201,single_family,vacant,18,fair,Starwood Waypoint,bb-starwood-001,71.8,no_response,,,,,52,fair,0,0,1,0,1,0
deal-010,245000,320000,2100,2008,4,2.5,16,20000,2200,741 Hickory Ct,Nashville,TN,37201,single_family,vacant,8,good,Colony Starwood,bb-colony-001,88.3,closed,240000,,newer_construction;good_neighborhood,Pre-inspections speed up closing,78,good,1,1,1,0,0,0
deal-011,118000,165000,950,1972,2,1,5,45000,950,852 Poplar Ave,Birmingham,AL,35201,single_family,vacant,42,poor,Home Partners,bb-homepartners-001,52.1,passed,,condition,,"Foundation issues discovered in inspection",30,poor,0,0,0,1,1,1
deal-012,178000,240000,1550,1995,3,2,13,27000,1480,963 Willow Way,Raleigh,NC,27601,single_family,occupied,15,good,Vinebrook Homes,bb-vinebrook-001,82.6,offer_accepted,172000,,tenant_quality,Good tenant history matters,72,good,1,0,1,0,0,0
deal-013,295000,380000,2600,2012,5,3,20,18000,2650,174 Chestnut Blvd,Austin,TX,78701,single_family,vacant,6,excellent,SFR REIT Fund,bb-sfr-001,95.1,closed,292000,,premium_market;new_build,Austin premium justified,92,excellent,1,1,1,0,0,0
deal-014,142000,190000,1180,1982,2,1.5,7,35000,1150,285 Sycamore St,Columbus,OH,43201,single_family,vacant,25,fair,American Residential,bb-ares-001,66.4,passed,,competition,,"Lost to cash buyer - need faster response",50,fair,0,0,0,0,1,1
deal-015,205000,270000,1800,2003,3,2,12,25000,1750,396 Magnolia Dr,Indianapolis,IN,46201,single_family,occupied,11,good,Haven Realty,bb-haven-001,85.2,offer_made,198000,,,Section 8 potential,74,good,1,1,1,0,0,0
deal-016,168000,225000,1420,1991,3,2,10,33000,1400,507 Cypress Ln,Kansas City,MO,64101,single_family,vacant,20,fair,Roofstock,bb-roofstock-001,73.9,no_response,,,,,58,fair,0,0,1,0,1,0
deal-017,235000,305000,2050,2006,4,2.5,15,22000,2050,618 Redwood Ave,Denver,CO,80201,single_family,vacant,9,good,Fundrise,bb-fundrise-001,87.8,offer_accepted,230000,,good_schools;appreciation,Denver appreciation strong,80,good,1,1,1,0,0,0
deal-018,125000,170000,1050,1976,2,1,6,40000,1000,729 Palm St,Oklahoma City,OK,73101,single_family,occupied,30,fair,Mynd Management,bb-mynd-001,61.5,passed,,financing,,"Buyer financing fell through",45,fair,0,0,0,0,1,1
deal-019,192000,255000,1700,2000,3,2,14,28000,1600,840 Olive Way,Las Vegas,NV,89101,single_family,vacant,13,good,Evernest,bb-evernest-001,81.3,offer_accepted,186000,,,HOA was reasonable,70,good,1,0,1,0,0,0
deal-020,158000,215000,1320,1987,3,1.5,8,36000,1280,951 Juniper Dr,Louisville,KY,40201,single_family,vacant,22,fair,Bungalo,bb-bungalo-001,69.7,passed,,timing,,"Market shifted during due diligence",54,fair,0,0,0,0,1,0
deal-021,88000,125000,900,1965,2,1,4,28000,750,111 First St,Detroit,MI,48201,single_family,vacant,45,poor,REIT Fund A,bb-reita-001,55.3,passed,,location,,"Neighborhood declining",32,poor,0,0,0,1,1,1
deal-022,320000,420000,2800,2015,5,3.5,22,12000,2900,222 Second Ave,Miami,FL,33101,single_family,vacant,4,excellent,REIT Fund B,bb-reitb-001,96.2,closed,318000,,premium_location;new_build;turnkey,Turnkey premium markets,95,excellent,1,1,1,0,0,0
deal-023,175000,235000,1480,1993,3,2,11,32000,1450,333 Third Blvd,Cleveland,OH,44101,townhouse,occupied,16,good,REIT Fund C,bb-reitc-001,76.8,offer_made,168000,,,Townhouse lower maintenance,65,good,0,1,1,0,0,0
deal-024,210000,280000,1900,2002,4,2,13,24000,1850,444 Fourth Dr,Richmond,VA,23219,single_family,vacant,10,good,REIT Fund D,bb-reitd-001,84.1,offer_accepted,205000,,growing_market,Richmond undervalued,76,good,1,1,1,0,0,0
deal-025,145000,195000,1250,1984,3,1.5,9,38000,1220,555 Fifth Ln,Milwaukee,WI,53201,single_family,vacant,24,fair,REIT Fund E,bb-reite-001,67.2,passed,,condition,,"HVAC replacement not in estimate",48,fair,0,0,0,0,1,1
deal-026,265000,350000,2350,2009,4,3,17,19000,2350,666 Sixth Way,Portland,OR,97201,single_family,occupied,7,good,REIT Fund F,bb-reitf-001,89.5,closed,262000,,cash_flow;appreciation,Portland rent growth strong,84,good,1,1,1,0,0,0
